ManagedAreaName,Region,TYPE,AreaID,X
Banana River Aquatic Preserve,NE,Aquatic Preserve,4,
Fort Clinch State Park Aquatic Preserve,NE,Aquatic Preserve,16,
Guana River Marsh Aquatic Preserve,NE,Aquatic Preserve,19,
Guana Tolomato Matanzas National Research Reserve,NE,NERR,20,
Indian River-Malabar to Vero Beach Aquatic Preserve,NE,Aquatic Preserve,21,
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,NE,Aquatic Preserve,22,
Jensen Beach to Jupiter Inlet Aquatic Preserve,NE,Aquatic Preserve,23,
Mosquito Lagoon Aquatic Preserve,NE,Aquatic Preserve,29,
Nassau River-St. Johns River Marshes Aquatic Preserve,NE,Aquatic Preserve,30,
North Fork St. Lucie Aquatic Preserve,NE,Aquatic Preserve,31,
Oklawaha River Aquatic Preserve,NE,Aquatic Preserve,32,
Pellicer Creek Aquatic Preserve,NE,Aquatic Preserve,33,
Tomoka Marsh Aquatic Preserve,NE,Aquatic Preserve,45,
Wekiva River Aquatic Preserve,NE,Aquatic Preserve,46,
Alligator Harbor Aquatic Preserve,NW,Aquatic Preserve,1,
Apalachicola Bay Aquatic Preserve,NW,Aquatic Preserve,2,
Apalachicola National Estuarine Research Reserve,NW,NERR,3,
Big Bend Seagrasses Aquatic Preserve,NW,Aquatic Preserve,5,
Fort Pickens State Park Aquatic Preserve,NW,Aquatic Preserve,17,
Lake Jackson Aquatic Preserve,NW,Aquatic Preserve,24,
Rainbow Springs Aquatic Preserve,NW,Aquatic Preserve,36,
Rocky Bayou State Park Aquatic Preserve,NW,Aquatic Preserve,37,
St. Andrews State Park Aquatic Preserve,NW,Aquatic Preserve,40,
St. Joseph Bay Aquatic Preserve,NW,Aquatic Preserve,41,
St. Joseph Bay State Buffer Preserve,NW,Public Lands,42,
St. Martins Marsh Aquatic Preserve,NW,Aquatic Preserve,43,
Yellow River Marsh Aquatic Preserve,NW,Aquatic Preserve,47,
Biscayne Bay Aquatic Preserve,SE,Aquatic Preserve,6,
Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve,SE,Aquatic Preserve,7,
Coral Reef Conservation Program,SE,CRCP,12,
Coupon Bight Aquatic Preserve,SE,Aquatic Preserve,13,
Florida Keys National Marine Sanctuary,SE,Marine Sanctuary,15,
Lignumvitae Key Aquatic Preserve,SE,Aquatic Preserve,26,
Loxahatchee River-Lake Worth Creek Aquatic Preserve,SE,Aquatic Preserve,27,
Boca Ciega Bay Aquatic Preserve,SW,Aquatic Preserve,8,
Cape Haze Aquatic Preserve,SW,Aquatic Preserve,9,
Cape Romano-Ten Thousand Islands Aquatic Preserve,SW,Aquatic Preserve,10,
Cockroach Bay Aquatic Preserve,SW,Aquatic Preserve,11,
Estero Bay Aquatic Preserve,SW,Aquatic Preserve,14,
Gasparilla Sound-Charlotte Harbor Aquatic Preserve,SW,Aquatic Preserve,18,
Lemon Bay Aquatic Preserve,SW,Aquatic Preserve,25,
Matlacha Pass Aquatic Preserve,SW,Aquatic Preserve,28,
Pine Island Sound Aquatic Preserve,SW,Aquatic Preserve,34,
Pinellas County Aquatic Preserve,SW,Aquatic Preserve,35,
Rookery Bay Aquatic Preserve,SW,Aquatic Preserve,38,
Rookery Bay National Estarune Research Reserve,SW,NERR,39,
Terra Ceia Aquatic Preserve,SW,Aquatic Preserve,44,
